train_no,train_name,type_code,priority_tier,date,station_no,station_name,station_full_name,station_zone,distance_from_origin,arrival_day,arrival_time,departure_day,departure_time,hour_of_day,elapsed_minutes_from_origin,current_accumulated_delay,latitude,longitude,station_address,delay,is_foggy,avg_temperature,total_precipitation,avg_wind_speed,avg_cloud_cover,weather_data_available
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,1,PUNE,PUNE JN,CR,0.0,1.0,,1.0,16:15,16,975.0,0.0,18.529378,73.873086,"Pune Railway Station, HH Prince Aga Kh..",0.0,0.0,26.5625,0.0,4.079166666666667,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,2,DDCC,DAUND CHORD LINE,CR,73.0,1.0,17:18,1.0,17:20,17,1038.0,0.0,,,"Girim, Maharashtra, India",19.0,,,,,,False
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,3,ANG,AHMADNAGAR,CR,155.0,1.0,18:27,1.0,18:30,18,1107.0,19.0,19.0755194777,74.721882467,"Ahmednagar Railway Station, Ahmednagar..",49.0,0.0,24.03333333333333,0.0,9.95,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,4,BAP,BELAPUR,CR,222.0,1.0,19:37,1.0,19:40,19,1177.0,49.0,19.619569311800003,74.6617443079,"Belapur Railway Station, Shrirampur, M..",47.0,0.0,21.95,0.0,5.495833333333334,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,5,KPG,KOPARGAON,CR,266.0,1.0,20:27,1.0,20:30,20,1227.0,47.0,19.902943,74.503328,"Sanjivaani Factory, Kopargaon, Maharas..",35.0,0.0,23.45,0.0,6.3375,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,6,MMR,MANMAD JN,CR,308.0,1.0,21:45,1.0,21:50,21,1305.0,35.0,20.249887,74.438305,"Manmad, Maharashtra, India",11.0,0.0,21.383333333333336,0.0,7.1125,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,7,BSL,BHUSAVAL JN,CR,492.0,2.0,00:10,2.0,00:15,0,1450.0,11.0,21.0472812,75.78867170000001,"Bhusawal, Maharashtra, India",3.0,0.0,22.22083333333333,0.0,4.4125000000000005,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,8,KNW,KHANDWA,CR,615.0,2.0,02:12,2.0,02:15,2,1572.0,3.0,21.823596,76.353227,"Khandwa Railway Station, Khandwa, Madh..",1.0,0.0,22.758333333333336,0.0,5.7625,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,9,ET,ITARSI JN,WCR,799.0,2.0,05:20,2.0,05:30,5,1760.0,1.0,22.608258,77.767128,"Itarsi Junction Railway Station, Itars..",11.0,0.0,20.04583333333333,0.0,5.2625,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,10,PPI,PIPARIYA,WCR,866.0,2.0,06:18,2.0,06:20,6,1818.0,11.0,22.753941,78.354538,"Piparia Railway Station, Piparia, Madh..",31.0,0.0,19.779166666666665,0.0,5.654166666666666,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,11,NU,NARSINGHPUR,WCR,960.0,2.0,07:18,2.0,07:20,7,1878.0,31.0,22.943112,79.214385,"Narsimhapur, Madhya Pradesh, India",35.0,0.0,21.08333333333333,0.0,8.158333333333333,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,12,JBP,JABALPUR,WCR,1044.0,2.0,08:35,2.0,08:45,8,1955.0,35.0,23.164636,79.950919,"Jabalpur Railway Station, Jabalpur, Ma..",33.0,0.0,22.58333333333333,0.0,7.104166666666667,0.0,True
11033,DARBHANGA EXP,EXP-TRAINS,3,2025-02-12,13,KTE,KATNI,WCR,1134.0,2.0,10:00,2.0,10:05,10,2040.0,33.0,23.833385,80.400543,"Katni Railway Station, Katni, Madhya P..",72.0,0.0,21.5875,0.0,8.1,0.0,True
